"annee","cnc","visa","titre","genre","nationalite","distributeur","classification","sortie","art_et_essai","etab_s1"
"2024","1900017131","082194","CREPUSCULE","DRAME","EUROPE","CARLOTTA FILMS","TP","2024-06-12","OUI","5"
"2024","1900024949","115903","AMOUR OUF (L')","COMEDIE","FRANCE","STUDIOCANAL","TPA","2024-10-16","","687"
"2024","1900027020","122412","LES DERNIERS HOMMES","DRAME","FRANCE","TANDEM","TPA","2024-02-21","OUI","34"
"2024","2010001977","","PREMINGER ANATOMY OF A FILMMAKER","DOCUMENTAIRE","USA","PANOCEANIC FILMS","TP","2024-12-11","","1"
"2024","2012000168","132215","ROGER MILLA, LA LEGENDE","DOCUMENTAIRE","FRANCE","PATOU FILMS INTERNATIONAL","TP","2024-01-13","","1"
"2024","2012001864","162252","NOMAD (1984)","GUERRE","TIERS","CARLOTTA FILMS","TPA","2024-06-19","OUI","11"
"2024","2012001880","161680","LOVE UNTO WASTE","DRAME","TIERS","CARLOTTA FILMS","TP","2024-04-10","OUI","8"
"2024","2013000736","154515","SARAVAH","DOCUMENTAIRE","FRANCE","ARIZONA FILMS DISTRIBUTION","TP","2024-07-10","OUI","30"
"2024","2013002177","137765","MA SACREE JEUNESSE","DRAME","FRANCE","MANGOUSTINE","TP","2024-09-25","","1"
"2024","2014000488","139090","INDIVISION","THRILLER","FRANCE","I2MIND","TP","2024-04-24","OUI","8"
"2024","2015001197","142030","VOYAGE EN PYJAME (LE)","COMEDIE","FRANCE","STUDIOCANAL","TP","2024-01-17","","179"
"2024","2015001497","142228","SARAH BERNHARDT LA DIVINE","DRAME","FRANCE","MEMENTO DISTRIBUTION","TP","2024-12-18","OUI","329"
"2024","2015001589","142296","IL N'Y A PAS D'OMBRE DANS LE DESERT","DRAME","FRANCE","LES FILMS DU LOSANGE","TP","2024-02-28","OUI","27"
"2024","2015002501","142894","ZAK & WOWO, LA LEGENDE DE LENDARYS","ANIMATION","FRANCE","SIRIUS MEDIA PRODUCTIONS","TP","2024-07-03","","146"
"2024","2016001721","144515","JEUNESSE (LE PRINTEMPS)","DOCUMENTAIRE","FRANCE","LES ACACIAS","TP","2024-01-03","OUI","41"
